2026-02-23 13:46:18,171 INFO    MainThread:403124 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2026-02-23 13:46:18,172 INFO    MainThread:403124 [wandb_setup.py:_flush():68] Configure stats pid to 403124
2026-02-23 13:46:18,172 INFO    MainThread:403124 [wandb_setup.py:_flush():68] Loading settings from C:\Users\YongJae\.config\wandb\settings
2026-02-23 13:46:18,172 INFO    MainThread:403124 [wandb_setup.py:_flush():68] Loading settings from C:\Users\YongJae\Desktop\Project\Samsung_DS\Code\wandb\settings
2026-02-23 13:46:18,172 INFO    MainThread:403124 [wandb_setup.py:_flush():68] Loading settings from environment variables
2026-02-23 13:46:18,172 INFO    MainThread:403124 [wandb_init.py:setup_run_log_directory():724] Logging user logs to C:\Users\YongJae\Desktop\Project\Samsung_DS\Code\wandb\run-20260223_134618-2n01tf7t\logs\debug.log
2026-02-23 13:46:18,172 INFO    MainThread:403124 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to C:\Users\YongJae\Desktop\Project\Samsung_DS\Code\wandb\run-20260223_134618-2n01tf7t\logs\debug-internal.log
2026-02-23 13:46:18,172 INFO    MainThread:403124 [wandb_init.py:init():852] calling init triggers
2026-02-23 13:46:18,172 INFO    MainThread:403124 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'objective': 'tardiness', 'algorithm': 'PPO', 'model_type': 'daniel', 'N_P': 10, 'N_A_min': 4, 'N_A_max': 6, 'N_T': 5, 'batch_size': 64, 'pomo_size': 1, 'epochs': 1000, 'learning_rate': 0.0003, 'normalize_advantage': False, 'entropy_coef': 0.01, 'reward_type': 'stepwise', 'fea_act_input_dim': 14, 'fea_team_input_dim': 8, 'layer_fea_output_dim': [32, 8], '_wandb': {}}
2026-02-23 13:46:18,172 INFO    MainThread:403124 [wandb_init.py:init():893] starting backend
2026-02-23 13:46:18,172 INFO    MainThread:403124 [wandb_init.py:init():897] sending inform_init request
2026-02-23 13:46:18,311 INFO    MainThread:403124 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2026-02-23 13:46:18,311 INFO    MainThread:403124 [wandb_init.py:init():907] backend started and connected
2026-02-23 13:46:18,313 INFO    MainThread:403124 [wandb_init.py:init():1002] updated telemetry
2026-02-23 13:46:18,352 INFO    MainThread:403124 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2026-02-23 13:46:19,100 INFO    MainThread:403124 [wandb_init.py:init():1101] starting run threads in backend
2026-02-23 13:46:19,292 INFO    MainThread:403124 [wandb_run.py:_console_start():2566] atexit reg
2026-02-23 13:46:19,292 INFO    MainThread:403124 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2026-02-23 13:46:19,296 INFO    MainThread:403124 [wandb_run.py:_redirect():2483] Wrapping output streams.
2026-02-23 13:46:19,296 INFO    MainThread:403124 [wandb_run.py:_redirect():2506] Redirects installed.
2026-02-23 13:46:19,298 INFO    MainThread:403124 [wandb_init.py:init():1147] run started, returning control to user process
2026-02-23 13:47:36,627 INFO    MainThread:403124 [wandb_run.py:_finish():2314] finishing run yongjae9-korea-advanced-institute-of-science-and-technology/RCMPSP/2n01tf7t
2026-02-23 13:47:36,628 INFO    MainThread:403124 [wandb_run.py:_atexit_cleanup():2531] got exitcode: 0
2026-02-23 13:47:36,628 INFO    MainThread:403124 [wandb_run.py:_restore():2513] restore
2026-02-23 13:47:36,628 INFO    MainThread:403124 [wandb_run.py:_restore():2519] restore done
2026-02-23 13:47:38,138 INFO    MainThread:403124 [wandb_run.py:_footer_history_summary_info():4160] rendering history
2026-02-23 13:47:38,138 INFO    MainThread:403124 [wandb_run.py:_footer_history_summary_info():4192] rendering summary
2026-02-23 13:47:38,139 INFO    MainThread:403124 [wandb_run.py:_footer_sync_info():4121] logging synced files
